actual_uses,estimated_uses,estimate_duration,actual_duration
43.53,4,0.42,0.79
62.64,52,3.2,1.6
49,7,5.58,2.27
63.07,35,2,2.3
21.21,27.5,7,2.5
75,20,2,2.87
45.72,50,6,3.06
217.45,20,2,3.18
155.8,50,5.5,4.09
47.2,20,2.5,4.52
157.13,50,3.17,4.79
132.53,100,5.5,4.92
43.1,20,3.25,5
103.47,40,4.25,5.27
38.25,50,2.5,5.32
42.93,15,2,5.38
117.4,30,3.75,5.72
211.47,30,5.67,6.51
68.4,40,6,8.05
73.07,50,6,8.19
48.68,100,5.5,8.72
78.31,10,3.5,9.85
52.29,35,7.5,11.38
